,k,P
1841,0.007426405566734,6954.408312936
1842,0.007432881885844,6957.73205368
1843,0.007439358541311,6961.052361277
1844,0.007445835532788,6964.369237432
1845,0.007452312859928,6967.682683854
1846,0.00745879052239,6970.992702265
1847,0.00746526851983,6974.299292545
1848,0.00747174685191,6977.602459679
1849,0.00747822551829,6980.902203859
1850,0.007484704518633,6984.198526155
1851,0.007491183852606,6987.491429433
1852,0.007497663519875,6990.780914868
1853,0.007504143520107,6994.066984169
1854,0.007510623852975,6997.349639052
1855,0.007517104518149,7000.628881246
1856,0.007523585515303,7003.904713168
1857,0.007530066844113,7007.177131493
1858,0.007536548504255,7010.446145307
1859,0.007543030495408,7013.711753196
1860,0.007549512817252,7016.97395687
1861,0.00755599546947,7020.232758038
1862,0.007562478451745,7023.48815842
1863,0.007568961763762,7026.740158332
1864,0.007575445405208,7029.988761993
1865,0.007581929375773,7033.233969957
1866,0.007588413675145,7036.475783941
1867,0.007594898303017,7039.71420567
1868,0.007601383259082,7042.949236882
1869,0.007607868543035,7046.180877349
1870,0.007614354154573,7049.409132259
1871,0.007620840093395,7052.634001726
1872,0.0076273263592,7055.855486764
1873,0.007633812951689,7059.073590324
1874,0.007640299870566,7062.288313556
1875,0.007646787115535,7065.499658185
1876,0.007653274686303,7068.707625944
1877,0.007659762582577,7071.912218567
1878,0.007666250804067,7075.113438243
1879,0.007672739350483,7078.311282183
1880,0.007679228221539,7081.505759053
1881,0.007685717416947,7084.696867547
1882,0.007692206936424,7087.884609387
1883,0.007698696779687,7091.068986302
1884,0.007705186946454,7094.250000024
1885,0.007711677436446,7097.427650825
1886,0.007718168249385,7100.601942994
1887,0.007724659384993,7103.77287705
1888,0.007731150842995,7106.940454723
1889,0.007737642623117,7110.104677742
1890,0.007744134725088,7113.265547847
1891,0.007750627148637,7116.423064433
1892,0.007757119893494,7119.577233816
1893,0.007763612959391,7122.728055022
1894,0.007770106346063,7125.875529413
1895,0.007776600053245,7129.01965996
1896,0.007783094080672,7132.160447808
1897,0.007789588428084,7135.297894685
1898,0.00779608309522,7138.432002324
1899,0.007802578081821,7141.562772463
1900,0.00780907338763,7144.69020685
1901,0.00781556901239,7147.814304061
1902,0.007822064955848,7150.935071404
1903,0.007828561217749,7154.052508022
1904,0.007835057797843,7157.16661564
1905,0.007841554695879,7160.277395985
1906,0.007848051911608,7163.384850791
1907,0.007854549444783,7166.488981746
1908,0.007861047295158,7169.589788968
1909,0.007867545462488,7172.687277122
1910,0.007874043946531,7175.781446558
1911,0.007880542747044,7178.872299007
1912,0.007887041863787,7181.959836204
1913,0.007893541296521,7185.044059898
1914,0.007900041045009,7188.124969464
1915,0.007906541109015,7191.20257081
1916,0.007913041488303,7194.276863707
1917,0.007919542182641,7197.347849113
1918,0.007926043191795,7200.415530154
1919,0.007932544515537,7203.4799079
1920,0.007939046153636,7206.540984083
1921,0.007945548105864,7209.598760434
1922,0.007952050371996,7212.653238699
1923,0.007958552951805,7215.704421849
1924,0.007965055845068,7218.752304333
1925,0.007971559051562,7221.796897953
1926,0.007978062571066,7224.838200255
1927,0.007984566403361,7227.876212964
1928,0.007991070548227,7230.910937807
1929,0.007997575005448,7233.942376513
1930,0.008004079774808,7236.970528953
1931,0.008010584856092,7239.995400497
1932,0.008017090249087,7243.016990731
1933,0.008023595953581,7246.035301655
1934,0.008030101969363,7249.050334996
1935,0.008036608296225,7252.06209249
1936,0.008043114933958,7255.070575856
1937,0.008049621882355,7258.075784307
1938,0.008056129141211,7261.077724103
1939,0.008062636710323,7264.07639519
1940,0.008069144589486,7267.071797413
1941,0.0080756527785,7270.063935073
1942,0.008082161277165,7273.052808829
1943,0.00808867008528,7276.038420404
1944,0.008095179202649,7279.020771529
1945,0.008101688629075,7281.999863947
1946,0.008108198364363,7284.975700403
1947,0.008114708408318,7287.94827578
1948,0.008121218760749,7290.917601651
1949,0.008127729421463,7293.883675573
1950,0.008134240390271,7296.846499267
1951,0.008140751666983,7299.806074452
1952,0.008147263251412,7302.762402854
1953,0.008153775143371,7305.715485766
1954,0.008160287342675,7308.665324192
1955,0.00816679984914,7311.611922158
1956,0.008173312662583,7314.555280153
1957,0.008179825782822,7317.495399903
1958,0.008186339209678,7320.432283131
1959,0.00819285294297,7323.365931581
1960,0.008199366982521,7326.29634432
1961,0.008205881328154,7329.223527805
1962,0.008212395979694,7332.147481553
1963,0.008218910936966,7335.068206791
1964,0.008225426199797,7337.985706137
1965,0.008231941768015,7340.899980898
1966,0.008238457641449,7343.811032801
1967,0.00824497381993,7346.718861393
1968,0.008251490303289,7349.623472279
